title,description,created_at,deadline,category,priority
Watch Git basics video,"Understand init, add, commit, and push.",2025-07-01,2025-07-03,tech,low
Help brother with assignment,Review and suggest edits to report.,2025-07-05,2025-07-10,personal,medium
Finalize vacation budget,"Estimate travel, food, and stay costs.",2025-07-02,2025-07-13,travel,medium
Fix profile photo upload issue,Debug image validation logic.,2025-07-03,2025-07-06,project,high
Book dentist appointment,Annual teeth cleaning and checkup.,2025-07-01,2025-07-10,health,medium
Submit college fee,Pay July semester installment.,2025-07-02,2025-07-09,education,high
Order groceries online,Add essentials to Instamart cart.,2025-07-03,2025-07-04,home,low
Plan tech meetup agenda,List speakers and discussion topics.,2025-07-05,2025-07-15,community,medium
Clean email inbox,Delete old newsletters and spam.,2025-07-01,2025-07-05,personal,low
Test payment gateway,Ensure successful checkout with demo card.,2025-07-04,2025-07-06,project,high
Create intro video for online course,Edit and upload short introduction on course portal.,2025-07-04,2025-07-10,project,high
Update emergency contact info with employer,Log in to HR portal and enter latest details.,2025-07-03,2025-07-07,work,medium
Buy desk lamp for workspace,Choose LED with adjustable brightness.,2025-07-02,2025-07-06,home,low
Translate recipe instructions to English,Convert ingredients and steps clearly.,2025-07-03,2025-07-08,hobby,medium
Organize digital notes from workshop,Label and categorize by topic in app.,2025-07-04,2025-07-09,education,medium
Fix padding issue in blog layout,Edit CSS for better responsiveness.,2025-07-02,2025-07-05,tech,high
Get health insurance quotes,Compare plans with different coverage options.,2025-07-01,2025-07-11,finance,high
Reapply for lost PAN card,Submit photo and ID proof online.,2025-07-03,2025-07-12,finance,medium
Take friend to airport,Plan departure based on flight schedule.,2025-07-04,2025-07-05,personal,low
Create Spotify playlist for gym,Add 30 high-energy workout tracks.,2025-07-02,2025-07-04,personal,low
Test chatbot conversation flows,Simulate scenarios and refine responses.,2025-07-03,2025-07-08,tech,high
Upload final logo assets to Drive,Send PNG and SVG versions to team.,2025-07-02,2025-07-06,project,medium
Send invitation for team lunch,Book restaurant and add group to calendar.,2025-07-03,2025-07-05,work,low
Revise SOP draft for master’s program,Improve grammar and remove repetitive content.,2025-07-01,2025-07-10,career,high
Set up calendar sync on mobile,Enable Google and work calendar integration.,2025-07-04,2025-07-06,tech,medium
Buy birthday cake and candles,Order chocolate truffle and accessories.,2025-07-01,2025-07-05,personal,low
Read news articles on global economy,Select 3 reputable sources each day.,2025-07-01,2025-07-15,personal,low
Download YouTube videos for offline course,Save tutorials for weekend trip.,2025-07-02,2025-07-04,education,low
Export monthly transaction history from bank,Download CSV for personal budget tracking.,2025-07-02,2025-07-06,finance,high
Check AC filters for cleaning,Wipe filters and reset indicator.,2025-07-04,2025-07-08,home,medium
Practice TypeScript interfaces and types,Review object typing using challenges.,2025-07-03,2025-07-10,tech,medium
Book movie tickets with friends,Pick preferred seats and confirm showtiming.,2025-07-01,2025-07-03,personal,low
Research scholarship options for MS abroad,Compare eligibility and funding coverage.,2025-07-02,2025-07-18,education,high
Respond to mentor feedback on prototype,List discussed changes and update UI.,2025-07-03,2025-07-07,project,high
Print poster for science exhibition,Use A3 sheets with color illustrations.,2025-07-01,2025-07-05,education,medium
Update shipping address in online store,Enter correct address for upcoming orders.,2025-07-02,2025-07-04,personal,medium
Check expiry dates on pantry items,Discard expired groceries and note reusables.,2025-07-03,2025-07-06,home,low
Fix scroll lag on single-page application,Improve performance with debounce functions.,2025-07-02,2025-07-09,tech,high
Submit photography contest entry,Choose best shot and provide title.,2025-07-01,2025-07-07,hobby,medium
Install app to track water intake,Set reminders for hydration goals.,2025-07-04,2025-07-05,health,low
Create wireframe for portfolio website,"Sketch landing, about, project sections.",2025-07-03,2025-07-10,project,medium
Repair door hinge in study room,Tighten bolts and align door.,2025-07-01,2025-07-06,home,low
Sign-up for weekend yoga workshop,Fill registration form and pay fee.,2025-07-02,2025-07-07,health,medium
Add contributors to GitHub repo,Assign roles and send invite link.,2025-07-01,2025-07-02,tech,high
Buy toys for animal shelter,Pick dog toys and cat treats.,2025-07-01,2025-07-10,community,low
Review SaaS platform accessibility issues,Aim for WCAG 2.1 compliance.,2025-07-02,2025-07-09,work,medium
Edit profile picture for resume,Use neutral background and crop to size.,2025-07-04,2025-07-06,career,high
Book table for date night,Choose rooftop restaurant with early reservation.,2025-07-02,2025-07-07,personal,medium
Research hiking routes in Himachal,"Check elevation, permits, and season.",2025-07-03,2025-07-15,travel,medium
Upload notes to shared drive,Organize folders by subject and week.,2025-07-01,2025-07-04,education,medium
Schedule story post for campaign,Write copy and add scheduled time.,2025-07-03,2025-07-05,project,medium
Buy drawing supplies for weekend class,"Get pencils, erasers, and sketch pad.",2025-07-02,2025-07-06,hobby,medium
Replace batteries in all remotes,Buy AAA and test each device.,2025-07-01,2025-07-05,home,low
Attend tech career fair,Bring updated resume and dress formally.,2025-07-04,2025-07-09,career,medium
Submit Google Form for alumni details,Fill out profession and location info.,2025-07-01,2025-07-03,education,low
Consult with mentor on skill development,Ask for tech pathway suggestions.,2025-07-03,2025-07-07,career,high
Update Trello board for design sprint,Move cards and assign tasks.,2025-07-02,2025-07-04,project,medium
Handle electricity bill payment,Pay via UPI to avoid late fees.,2025-07-01,2025-07-05,finance,high
Prepare annual income report,Collect receipts and fill yearly income spreadsheet.,2025-07-04,2025-07-18,finance,high
Read journal article on AI ethics,Take notes on key arguments and conclusions.,2025-07-05,2025-07-12,education,medium
Book hotel for workshop trip,Find nearby accommodation with free cancellation.,2025-07-06,2025-07-15,travel,medium
Deep clean bedroom closet,Sort clothes and donate unused items.,2025-07-04,2025-07-10,home,low
Submit LinkedIn job application,Customize resume and cover letter.,2025-07-07,2025-07-11,career,high
Fix navbar responsiveness bug,Debug mobile menu toggle and styling.,2025-07-05,2025-07-08,project,high
Join weekly yoga session,Attend Friday morning online class.,2025-07-01,2025-07-31,health,low
Transfer money to parents,Send fixed monthly amount via UPI.,2025-07-06,2025-07-07,finance,high
Design business card layout,Try minimal black and white design.,2025-07-03,2025-07-13,career,medium
Organize tech blog ideas,Create content calendar for next month.,2025-07-05,2025-07-20,tech,low
Update profile on job portal,Add latest project and tech stack.,2025-07-07,2025-07-09,career,medium
Buy waterproof phone pouch,For beach trip and monsoon protection.,2025-07-06,2025-07-14,travel,low
Record coding tutorial on strings,Explain basic string operations in Python.,2025-07-04,2025-07-18,hobby,medium
Check car tire alignment,Visit service center for wheel check.,2025-07-05,2025-07-12,personal,low
Write thank-you email to mentor,Express gratitude and mention key lessons.,2025-07-06,2025-07-10,personal,medium
Submit proposal for community event,Include budget and timeline.,2025-07-03,2025-07-15,community,high
Review unit test results,Check coverage and improve weak areas.,2025-07-04,2025-07-08,tech,high
Pay mobile phone bill,Recharge before service expires.,2025-07-01,2025-07-06,finance,medium
Clean bathroom tiles,Use vinegar and baking soda.,2025-07-07,2025-07-09,home,low
Draft LinkedIn article on internships,Summarize experience and lessons.,2025-07-04,2025-07-13,career,medium
Update college portal password,Change login credentials for security.,2025-07-05,2025-07-10,education,low
Download conference presentation slides,Save PDFs from official site.,2025-07-06,2025-07-08,education,medium
Fix app crash on startup,Investigate Android logs for bug.,2025-07-07,2025-07-10,project,high
Host family lunch,Decide menu and invite guests.,2025-07-03,2025-07-14,personal,medium
Register for hackathon,Create team and submit form.,2025-07-01,2025-07-09,tech,high
Submit leave request for trip,Email manager with proposed dates.,2025-07-04,2025-07-06,work,medium
Declutter bedside drawers,Remove unused items and sanitize.,2025-07-05,2025-07-11,home,low
Start 30-day language challenge,Practice Spanish for 15 minutes daily.,2025-07-01,2025-07-31,hobby,low
File reimbursement for workshop,Upload scanned bills and tickets.,2025-07-06,2025-07-15,work,medium
Design event registration form,"Include name, email, preferences.",2025-07-05,2025-07-12,project,medium
Help friend prepare resume,Review format and add bullet points.,2025-07-04,2025-07-09,career,low
Finalize team for group project,Confirm roles and responsibilities.,2025-07-03,2025-07-10,education,high
Book train for weekend trip,Choose AC coach and window seat.,2025-07-06,2025-07-14,travel,medium
Clean under kitchen sink,Remove expired cleaners and pests.,2025-07-07,2025-07-11,home,low
Draft UI for to-do app,"Include calendar, filter, and dark mode.",2025-07-04,2025-07-16,tech,high
Water terrace garden plants,Every alternate day before 9am.,2025-07-01,2025-07-31,personal,low
Design fundraising poster,Highlight cause and QR donation code.,2025-07-05,2025-07-15,community,medium
Buy flowers for parents' anniversary,Choose roses or lilies with vase.,2025-07-03,2025-07-06,personal,medium
Take database backup,Export SQL and cloud copy.,2025-07-04,2025-07-08,tech,medium
Attend interview prep webinar,Register for resume and HR tips.,2025-07-02,2025-07-05,career,medium
Pack suitcase for trek,"Include jacket, torch, and snacks.",2025-07-05,2025-07-09,travel,low
Create intro slide for seminar,"Add topic, name, and affiliation.",2025-07-06,2025-07-08,education,medium
Collect internship certificate,Email HR for digital copy.,2025-07-01,2025-07-07,career,high
Clean work desk and cables,Untangle wires and dust surface.,2025-07-03,2025-07-06,home,low
Update browser extensions,Remove unused and add password manager.,2025-07-04,2025-07-10,tech,low
Plan weekend gaming night,Invite friends and prepare snacks.,2025-07-05,2025-07-13,hobby,medium
Send newsletter to subscribers,Schedule campaign and proofread content.,2025-07-06,2025-07-07,project,high
Review exam schedule,Mark subjects and dates on calendar.,2025-07-03,2025-07-08,education,medium
Attend blood donation camp,Register and carry ID proof.,2025-07-05,2025-07-10,community,medium
Refill pet food container,Buy dry food and transfer to airtight bin.,2025-07-04,2025-07-06,home,low
Write newsletter content for July,Include 3 updates and community spotlight.,2025-07-02,2025-07-06,work,medium
Join Discord study group for coding,Accept invite and set availability.,2025-07-03,2025-07-08,education,low
Evaluate monthly health metrics,Check heart rate and sleep quality report.,2025-07-01,2025-07-05,health,medium
Design thank-you card for teacher,Print message and decorate by hand.,2025-07-04,2025-07-09,personal,low
Clean whiteboard and markers,Use cloth and replace dry ones.,2025-07-02,2025-07-03,home,low
Sort monthly receipts by category,"Label office, groceries, and transport bills.",2025-07-01,2025-07-07,finance,medium
Practice presenting research topic,Rehearse for 10 minutes each day.,2025-07-02,2025-07-10,education,high
Mark bills as reimbursed,Update spreadsheet and email accounts.,2025-07-02,2025-07-04,work,medium
Purchase yoga mat online,"Choose padded, non-slip variant.",2025-07-03,2025-07-06,health,low
Help mom update Aadhaar details,Book appointment and upload documents.,2025-07-04,2025-07-12,personal,medium
Create GitHub issue templates,Add bug report and feature request format.,2025-07-01,2025-07-05,project,high
Review CV with career counselor,Get feedback and update accordingly.,2025-07-03,2025-07-10,career,high
Polish shoes for formal event,Clean and apply leather polish.,2025-07-02,2025-07-04,home,low
Post code snippet on dev forum,Solve query with custom script.,2025-07-01,2025-07-03,tech,medium
Scan paper bills and upload backup,Organize in cloud under “Documents”.,2025-07-03,2025-07-08,finance,medium
Host community Discord Q&A,Prepare agenda and moderate session.,2025-07-02,2025-07-06,community,medium
Attend webinar on emotional intelligence,Block 60 minutes and take notes.,2025-07-03,2025-07-04,personal,low
Organize wardrobe by season,Pack sweaters and label boxes.,2025-07-01,2025-07-09,personal,medium
Book appointment with nutritionist,Check for availability on weekend.,2025-07-03,2025-07-10,health,medium
Update personal notes on investments,List SIPs and due dates.,2025-07-01,2025-07-14,finance,high
Watch tutorial on building REST API,Follow along and take notes.,2025-07-02,2025-07-07,tech,medium
Set up flashcard deck for German words,Add 20 new vocabulary terms.,2025-07-01,2025-07-05,education,low
Pack lunch for office week,Plan healthy meals for 5 days.,2025-07-04,2025-07-06,personal,low
Optimize images on blog,Compress JPGs and replace slow loaders.,2025-07-02,2025-07-05,project,medium
Call AC service guy for maintenance,Clean filter and check coolant.,2025-07-01,2025-07-06,home,medium
Check standing instruction for rent,Verify account automation in bank app.,2025-07-01,2025-07-03,finance,high
Write summary of weekly progress,Compile goals met and pending items.,2025-07-02,2025-07-04,work,medium
Submit PowerPoint deck for review,Add speaker notes and transitions.,2025-07-01,2025-07-05,work,high
Perform code cleanup and formatting,Run Prettier and remove unused imports.,2025-07-01,2025-07-03,tech,medium
Print and laminate ID badges,"Design, print names and get laminated.",2025-07-02,2025-07-07,community,medium
Bake cookies for local fundraiser,Prepare 2 dozen and pack neatly.,2025-07-02,2025-07-06,community,low
Prepare items for garage sale,Price old gadgets and label.,2025-07-03,2025-07-11,personal,low
Buy insurance for scooter,Compare yearly plans and submit KYC.,2025-07-01,2025-07-07,finance,medium
Write email to apartment manager,Log maintenance issue in lift.,2025-07-02,2025-07-04,home,low
Annotate PDF research papers,Highlight key terms and methodology.,2025-07-01,2025-07-08,education,medium
Install Ubuntu on old laptop,Back up files and create bootable USB.,2025-07-03,2025-07-06,tech,high
Get passport size photographs,Visit photo studio near post office.,2025-07-02,2025-07-05,personal,low
Practice sketching human anatomy,Draw poses using online references.,2025-07-01,2025-07-10,hobby,medium
Create proposal for freelance client,"Add timeline, cost, and deliverables.",2025-07-04,2025-07-07,career,high
Start 30-day journaling challenge,Write 5 minutes each morning.,2025-07-01,2025-07-31,personal,low
Attend Azadi Ka Amrit Mahotsav event,Join flag hoisting and cultural show.,2025-07-03,2025-07-05,community,low
Compile outlines for training video,Add scene points and duration.,2025-07-02,2025-07-06,project,medium
Scan handwritten notes and convert to PDF,Use mobile scanner app.,2025-07-01,2025-07-04,education,medium
Buy external webcam for meetings,Check resolution and sound quality.,2025-07-02,2025-07-09,work,medium
Final sign-off on invoice approvals,Verify amounts and client details.,2025-07-04,2025-07-07,finance,high
Send Diwali invites to family,Choose design and email PDF copies.,2025-07-03,2025-07-08,personal,low
Calibrate fitness tracker metrics,Align with health app on phone.,2025-07-02,2025-07-06,health,low
Test website for screen reader access,Ensure all elements have alt tags.,2025-07-01,2025-07-07,tech,medium
Join virtual community cleanup campaign,Sign up and complete neighborhood checklist.,2025-07-02,2025-07-05,community,low
Create LinkedIn content strategy,Plan engagement posts for each week.,2025-07-04,2025-07-07,career,high
Restock household cleaning supplies,"Buy mop refills, detergent and sprays.",2025-07-02,2025-07-06,home,low
Plan solo trip to Pondicherry,Book hostel and local tour.,2025-07-01,2025-07-15,travel,medium
Fix layout issues in resume PDF,Align icons and text padding.,2025-07-04,2025-07-06,career,medium
